,neighborhood,top 5 words in description
0,78705,bed downtown away block bedroom
1,78702,east house bedroom downtown home
2,78729,bedroom bed kitchen minute house
3,78704,south bedroom downtown home congress
4,78741,downtown bedroom minute bed kitchen
5,78748,home south bedroom neighborhood downtown
6,78759,bedroom home domain minute space
7,78703,downtown neighborhood home house bedroom
8,78757,house home neighborhood bedroom downtown
9,78749,home minute bedroom neighborhood house
10,78727,minute domain bedroom house bed
11,78731,downtown neighborhood house bed home
12,78758,domain home bedroom guest space
13,78744,home minute bedroom downtown bathroom
14,78751,park home neighborhood house bedroom
15,78722,house bedroom bar neighborhood restaurant
16,78701,downtown street bed bedroom th
17,78723,home bedroom house neighborhood mueller
18,78752,house home minute downtown neighborhood
19,78736,hill home we country downtown
20,78732,lake we house travis boat
21,78746,downtown minute home bedroom barton
22,78745,south home bedroom house downtown
23,78754,home guest minute we house
24,78737,we country hill enjoy minute
25,78724,house home community minute bedroom
26,78747,house home guest also minute
27,78753,home bedroom we guest minute
28,78721,house east home bedroom downtown
29,78734,lake travis bedroom home bed
30,78756,house neighborhood bedroom downtown bed
31,78733,lake minute private bed hill
32,78750,bedroom bed home private minute
33,78730,area private downtown minute view
34,78726,lake guest bedroom house travis
35,78717,home bedroom area downtown mile
36,78735,home bed downtown minute neighborhood
37,78738,minute hill lakeway country home
38,78739,home house pool area there
39,78725,minute home neighborhood river downtown
40,78728,house bedroom living neighborhood park
41,78719,there bed home also etc
42,78742,tent ranch river you hike
43,78712,
